title,recency_new,duration_long,genre_family_comedy,genre_drama,genre_action_adventure,genre_thriller_crime,genre_documentary
6 Days,1,1,0,0,0,0,1
8 Mile,0,1,0,1,0,0,0
RuPaul's Drag Race Holi-Slay Spectacular,1,0,1,0,0,0,0
Russia's Toughest Prisons,0,0,0,0,0,0,1
SPF-18,1,0,1,0,0,0,0
Shrek,0,1,1,0,0,0,0
Shrek 2,0,1,1,0,0,0,0
Sierra Burgess Is A Loser,1,1,1,0,0,0,0
Spectre,1,1,0,0,1,0,0
Star Wars: The Force Awakens,0,1,0,0,1,0,0
Step Brothers,0,1,1,0,0,0,0
T2 Trainspotting,1,1,0,1,0,0,0
The 40-Year-Old Virgin,0,1,1,0,0,0,0
The Accidental Husband,0,0,1,0,0,0,0
The Autopsy of Jane Doe,1,0,0,0,0,1,0
The Avengers,0,1,0,0,1,0,0
The Ballad of Buster Scruggs,1,1,1,0,0,0,0
The Beyond,1,1,0,1,0,0,0
The Big Short,0,1,1,0,0,0,0
The Circle,1,1,0,0,0,1,0